label,date,value,low,high
Approve,2010-06-06,46.7144,,
Approve,2010-06-06,46.7144,,
Approve,2010-06-07,46.6888,,
Approve,2010-06-07,46.6888,,
Approve,2010-06-07,46.6888,,
Approve,2010-06-08,46.6629,,
Approve,2010-06-09,46.6368,,
Approve,2010-06-09,46.6368,,
Approve,2010-06-10,46.6104,,
Approve,2010-06-12,46.5568,,
Approve,2010-06-13,46.5297,,
Approve,2010-06-13,46.5297,,
Approve,2010-06-14,46.5023,,
Approve,2010-06-15,46.4747,,
Approve,2010-06-15,46.4747,,
Approve,2010-06-16,46.4469,,
Approve,2010-06-16,46.4469,,
Approve,2010-06-18,46.3906,,
Approve,2010-06-19,46.3615,,
Approve,2010-06-20,46.3326,,
Approve,2010-06-20,46.3326,,
Approve,2010-06-20,46.3326,,
Approve,2010-06-21,46.3047,,
Approve,2010-06-21,46.3047,,
Approve,2010-06-22,46.276,,
Approve,2010-06-22,46.276,,
Approve,2010-06-22,46.276,,
Approve,2010-06-23,46.2473,,
Approve,2010-06-24,46.2163,,
Approve,2010-06-24,46.2163,,
Approve,2010-06-24,46.2163,,
Approve,2010-06-25,46.1873,,
Approve,2010-06-27,46.1329,,
Approve,2010-06-28,46.1081,,
Approve,2010-06-28,46.1081,,
Approve,2010-06-29,46.0801,,
Approve,2010-06-30,46.048,,
Approve,2010-06-30,46.048,,
Approve,2010-07-01,46.0155,,
Approve,2010-07-05,45.9112,,
Approve,2010-07-06,45.8849,,
Approve,2010-07-06,45.8849,,
Approve,2010-07-08,45.8283,,
Approve,2010-07-09,45.8036,,
Approve,2010-07-11,45.7614,,
Approve,2010-07-11,45.7614,,
Approve,2010-07-12,45.7385,,
Approve,2010-07-12,45.7385,,
Approve,2010-07-12,45.7385,,
Approve,2010-07-12,45.7385,,
Approve,2010-07-13,45.7219,,
Approve,2010-07-13,45.7219,,
Approve,2010-07-14,45.6944,,
Approve,2010-07-14,45.6944,,
Approve,2010-07-15,45.6734,,
Approve,2010-07-17,45.6279,,
Approve,2010-07-18,45.6088,,
Approve,2010-07-19,45.5952,,
Approve,2010-07-19,45.5952,,
Approve,2010-07-20,45.5722,,
Approve,2010-07-20,45.5722,,
Approve,2010-07-20,45.5722,,
Approve,2010-07-21,45.5548,,
Approve,2010-07-21,45.5548,,
Approve,2010-07-23,45.5215,,
Approve,2010-07-24,45.5055,,
Approve,2010-07-25,45.4899,,
Approve,2010-07-26,45.4795,,
Approve,2010-07-27,45.4598,,
Approve,2010-07-27,45.4598,,
Approve,2010-07-28,45.4405,,
Approve,2010-07-29,45.4263,,
Approve,2010-07-29,45.4263,,
Approve,2010-07-29,45.4263,,
Approve,2010-07-30,45.4125,,
Approve,2010-08-01,45.386,,
Approve,2010-08-01,45.386,,
Approve,2010-08-02,45.3786,,
Approve,2010-08-03,45.3664,,
Approve,2010-08-04,45.3545,,
Approve,2010-08-05,45.3375,,
